cycle,branch,type,matchup,forecastdate,state,startdate,enddate,pollster,grade,samplesize,population,poll_wt,rawpoll_clinton,rawpoll_trump,rawpoll_johnson,rawpoll_mcmullin,adjpoll_clinton,adjpoll_trump,adjpoll_johnson,adjpoll_mcmullin,multiversions,url,poll_id,question_id,createddate,timestamp
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Michigan",11/3/2016,11/4/2016,"Public Policy Polling","B+",957,"lv",3.354886,46,41,6,,45.26023,40.19318,7.132531,,"","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_COMIVA_110416.pdf",48348,75741,11/4/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"U.S.",11/1/2016,11/3/2016,"The Times-Picayune/Lucid","",2627,"lv",3.310952,44,39,6,,44.06476,41.36731,4.61637,,"","https://luc.id/2016-presidential-tracker/",48336,75720,11/4/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Missouri",10/31/2016,11/1/2016,"Public Policy Polling","B+",1083,"lv",3.299037,37,50,4,,36.19369,49.5465,4.854204,,"","http://images.campaignpartner.net/images/15290/MissouriResults112.pdf",48119,75343,11/2/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"U.S.",10/30/2016,11/3/2016,"IBD/TIPP","A-",898,"lv",3.238707,44.4,43.9,3.7,,45.89051,43.97306,2.713693,,"","http://www.investors.com/politics/ibd-tipp-presidential-election-poll/",48266,75630,11/4/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"U.S.",10/20/2016,10/25/2016,"Pew Research Center","B+",2120,"rv",3.212589,46,40,6,,45.08271,43.06055,3.232234,,"","http://www.people-press.org/2016/10/27/as-election-nears-voters-divided-over-democracy-and-respect/",47616,74519,10/27/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Florida",10/20/2016,10/24/2016,"SurveyUSA","A",1251,"lv",3.211857,48,45,2,,46.20227,46.18463,1.271535,,"","http://www.baynews9.com/content/news/baynews9/news/article.html/content/news/articles/cfn/2016/10/25/florida_decides_polls_presidential_race.html#pdfs",47465,74252,10/25/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Pennsylvania",10/31/2016,11/1/2016,"Public Policy Polling","B+",1050,"lv",3.171644,48,44,,,46.86992,43.21751,,,"","https://cdn.americanprogress.org/content/uploads/sites/2/2016/11/03143903/NationalMemo112-Final.pdf",48329,75702,11/4/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"California",10/25/2016,10/31/2016,"YouGov","B",1498,"lv",3.166234,53,33,4,,52.61813,33.58871,4.870295,,"","http://www.sacbee.com/news/politics-government/capitol-alert/article112168782.html",48125,75391,11/3/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"U.S.",10/28/2016,11/3/2016,"USC Dornsife/LA Times","",2962,"lv",3.148656,43.38,46.89,,,44.68382,44.10597,,,"","http://latimes.com/politics/",48265,75629,11/4/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"U.S.",10/30/2016,11/1/2016,"YouGov","B",1233,"lv",3.135305,46,43,4,,45.76274,42.79012,5.279421,,"","https://today.yougov.com/news/2016/11/02/post-comey-poll-clinton-leads-three/",48082,75219,11/2/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"U.S.",10/28/2016,11/1/2016,"CBS News/New York Times","A-",927,"lv",3.061167,45,42,5,,44.95706,42.65029,3.596927,,"","http://www.cbsnews.com/news/five-days-to-go-the-presidential-race-tightens-cbsnyt-poll/",48180,75450,11/3/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"California",10/22/2016,10/30/2016,"Greenberg Quinlan Rosner/American Viewpoint","B+",1382,"lv",3.032692,54,30,4,,53.6267,32.13408,3.029209,,"","https://gqrr.app.box.com/s/e43t1oo48vr9kfrz5t1fhl3qbfsoz39v",48321,75803,11/4/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Georgia",11/3/2016,11/3/2016,"Landmark Communications","B",1000,"lv",3.02738,46,48,4,,45.07405,47.56155,4.786851,,"","https://twitter.com/LoriGearyWSB/status/794532025038499840",48322,75693,11/4/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"California",10/28/2016,10/31/2016,"SurveyUSA","A",747,"lv",2.965604,56,35,4,,54.48787,34.41134,4.226773,,"","http://sanfrancisco.cbslocal.com/2016/11/01/surveyusa-kpix-5-poll-hillary-clinton-donald-trump-prop-64-marijuana/",48011,75087,11/1/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Arizona",10/30/2016,11/1/2016,"Marist College","A",719,"lv",2.951819,40,45,9,,38.33319,45.6978,7.291823,,"","http://www.wsj.com/articles/new-poll-finds-close-race-in-georgia-1478206826",48211,75509,11/3/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Washington",10/31/2016,11/2/2016,"SurveyUSA","A",681,"lv",2.922781,50,38,4,,48.59592,36.93042,4.518329,,"","http://www.surveyusa.com/client/PollReport.aspx?g=befe5f60-092c-48e8-b36f-b5ae8e28048e",48365,75831,11/4/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Wisconsin",10/31/2016,11/1/2016,"Public Policy Polling","B+",891,"lv",2.916037,48,41,,,46.61695,39.99945,,,"","https://cdn.americanprogress.org/content/uploads/sites/2/2016/11/03143903/NationalMemo112-Final.pdf",48330,75703,11/4/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Georgia",10/30/2016,11/1/2016,"Marist College","A",707,"lv",2.876914,44,45,8,,42.35072,45.61588,6.291823,,"","http://www.wsj.com/articles/new-poll-finds-close-race-in-georgia-1478206826",48209,75507,11/3/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Missouri",10/31/2016,11/1/2016,"Remington","",1722,"lv",2.849715,39,52,4,,38.58475,50.60819,4.799485,,"","http://projects.fivethirtyeight.com/polls/20161103_MO_1.pdf",48186,75458,11/3/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Texas",10/30/2016,11/1/2016,"Marist College","A",679,"lv",2.840763,40,49,6,,38.33987,49.6666,4.291823,,"","http://www.wsj.com/articles/new-poll-finds-close-race-in-georgia-1478206826",48210,75508,11/3/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Arizona",10/29/2016,10/31/2016,"Saguaro Strategies","",2229,"lv",2.8204,45,44,7,,42.98608,44.16123,6.050597,,"","https://www.scribd.com/document/329707080/Saguaro-Strategies-Arizona-Survey-October-29-31",48185,75456,11/3/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"U.S.",11/1/2016,11/3/2016,"Rasmussen Reports/Pulse Opinion Research","C+",1500,"lv",2.785343,44,44,4,,44.30067,44.05054,4.215929,,"","http://www.rasmussenreports.com/public_content/politics/elections/election_2016/white_house_watch_nov4",48320,75689,11/4/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Utah",10/31/2016,11/2/2016,"Emerson College","B",1000,"lv",2.74917,19.6,39.8,3,27.6,19.40811,38.11075,2.887146,27.66437,"","http://media.wix.com/ugd/3bebb2_f1333cfb6e9f42ae9d2e9dd81053b33a.pdf",48196,75478,11/3/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Colorado",11/3/2016,11/4/2016,"Public Policy Polling","B+",704,"lv",2.72873,48,43,4,,47.26023,42.19318,5.132531,,"","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_COMIVA_110416.pdf",48347,75739,11/4/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"U.S.",10/20/2016,11/1/2016,"RAND (American Life Panel)","B-",2269,"lv",2.72068,43.7,34.6,7.7,,42.34081,38.68163,5.652374,,"","http://www.rand.org/pubs/research_reports/RR1792.html",48009,75084,11/1/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Nevada",10/27/2016,11/1/2016,"CNN/Opinion Research Corp.","A-",790,"lv",2.718621,43,49,5,,41.76069,47.4298,4.228248,,"","http://www.cnn.com/2016/11/02/politics/polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona/index.html?sr=twCNN110216polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona0407PMVODtopLink&linkId=30619479",48089,75239,11/2/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Pennsylvania",10/27/2016,11/1/2016,"CNN/Opinion Research Corp.","A-",799,"lv",2.708616,48,44,4,,46.76853,42.39217,3.228248,,"","http://www.cnn.com/2016/11/02/politics/polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona/index.html?sr=twCNN110216polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona0407PMVODtopLink&linkId=30619479",48090,75243,11/2/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"U.S.",10/28/2016,11/3/2016,"CVOTER International","C+",1395,"lv",2.692137,48.53,48.44,,,46.25383,44.9101,,,"","http://www.upi.com/Top_News/US/2016/11/04/UPICVoter-poll-Clinton-Trump-remain-locked-in-dead-heat/6171478273495/",48332,75712,11/4/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Florida",10/27/2016,11/1/2016,"CNN/Opinion Research Corp.","A-",773,"lv",2.674369,49,47,3,,47.7627,45.42016,2.228248,,"","http://www.cnn.com/2016/11/02/politics/polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona/index.html?sr=twCNN110216polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona0407PMVODtopLink&linkId=30619479",48088,75235,11/2/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Arizona",10/27/2016,11/1/2016,"CNN/Opinion Research Corp.","A-",769,"lv",2.663887,44,49,5,,42.75704,47.44733,4.228248,,"","http://www.cnn.com/2016/11/02/politics/polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona/index.html?sr=twCNN110216polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona0407PMVODtopLink&linkId=30619479",48087,75231,11/2/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"New Hampshire",10/31/2016,11/1/2016,"Public Policy Polling","B+",781,"lv",2.642484,48,43,,,45.54552,40.99168,,,"","https://cdn.americanprogress.org/content/uploads/sites/2/2016/11/03143903/NationalMemo112-Final.pdf",48327,75700,11/4/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"U.S.",10/29/2016,10/30/2016,"Morning Consult","",1772,"lv",2.632575,42,39,7,,43.00858,41.0598,5.267776,,"","http://www.politico.com/story/2016/10/clinton-emails-comey-poll-politico-morning-consult-230519",47786,74805,10/31/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Florida",10/25/2016,10/27/2016,"Siena College","A",815,"lv",2.628633,42,46,4,,41.78874,48.81752,2.091602,,"","http://www.nytimes.com/interactive/2016/10/30/upshot/florida-poll.html?_r=0",47771,74761,10/30/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"North Carolina",10/25/2016,10/26/2016,"Marist College","A",780,"lv",2.602327,47,41,8,,45.16168,42.82062,5.657587,,"","http://www.nbcnews.com/meet-the-press/polls-clinton-leads-trump-north-carolina-dead-heat-florida-n675246",47775,74766,10/30/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"North Carolina",10/28/2016,10/31/2016,"SurveyUSA","A",659,"lv",2.600299,44,51,,,41.99166,49.82401,,,"","http://www.wral.com/wral-poll-trump-charges-ahead-in-nc/16183780/",48008,75083,11/1/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Florida",10/25/2016,10/26/2016,"Marist College","A",779,"lv",2.59948,45,44,5,,43.14058,45.94164,2.657587,,"","http://www.nbcnews.com/meet-the-press/polls-clinton-leads-trump-north-carolina-dead-heat-florida-n675246",47776,74770,10/30/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Utah",10/30/2016,10/31/2016,"Gravis Marketing","B-",1424,"rv",2.590707,29,35,3,24,28.97745,34.76127,3.283376,24.12874,"","https://www.scribd.com/document/330023731/UTAH-Final",48357,75794,11/4/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"California",10/14/2016,10/23/2016,"Public Policy Institute of California","A",1024,"lv",2.577181,54,28,5,,55.44595,30.40172,2.606233,,"","http://www.ppic.org/content/pubs/survey/S_1016MBS.pdf",47545,74374,10/27/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"U.S.",10/20/2016,10/24/2016,"GfK Group","B+",1212,"lv",2.56233,51,37,6,,50.03823,40.2537,4.699192,,"","http://ap-gfkpoll.com/main/wp-content/uploads/2016/10/October-2016-AP-GfK-Poll-Topline_Campaign.pdf",47538,74345,10/26/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Florida",10/21/2016,10/24/2016,"Selzer & Company","A+",805,"lv",2.550267,43,45,4,,42.71976,46.9099,2.554183,,"","http://www.bloomberg.com/politics/articles/2016-10-26/florida-poll",47469,74257,10/26/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"New Mexico",11/1/2016,11/2/2016,"Zia Poll","",1102,"lv",2.472627,46,43,7,,44.62371,40.90026,8.966183,,"","http://projects.fivethirtyeight.com/polls/20161104_NM_1.pdf",48340,75727,11/4/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Iowa",11/1/2016,11/2/2016,"RABA Research","C+",1076,"lv",2.470315,41,44,5,,41.29396,44.8396,4.906665,,"","http://www.thegazette.com/subject/news/public-safety/trump-clings-to-small-edge-in-iowa-20161103",48264,75594,11/3/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Pennsylvania",10/26/2016,10/28/2016,"YouGov","B",1091,"lv",2.46805,48,40,5,,47.60094,40.74753,5.757234,,"","http://www.cbsnews.com/news/cbs-battleground-poll-partisans-divide-on-news-of-fbi-emails/",47777,74787,10/30/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Colorado",11/1/2016,11/2/2016,"Gravis Marketing","B-",1125,"rv",2.45576,40,40,7,,40.11049,39.3104,7.619084,,"","http://www.breitbart.com/2016-presidential-race/2016/11/04/exclusive-breitbartgravis-colorado-poll-clinton-trump-in-40-40-dead-heat/",48366,75833,11/4/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Missouri",10/27/2016,10/28/2016,"BK Strategies","",1698,"lv",2.434355,39,53,,,38.23423,51.81948,,,"","http://themissouritimes.com/35134/blunt-opens-lead-kander-new-poll/",47860,74895,10/31/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"U.S.",10/27/2016,10/28/2016,"Google Consumer Surveys","B",943,"lv",2.434121,37.1,36.6,5.9,,41.95391,43.33941,4.847659,,"","https://s3.amazonaws.com/redoakstrategic-gcs/RedOakStrategic_NationalGCSSurvey_Nov12016.pdf",47939,74997,11/1/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Nevada",10/31/2016,11/1/2016,"Public Policy Polling","B+",688,"lv",2.418842,48,45,,,46.28062,43.64704,,,"","https://cdn.americanprogress.org/content/uploads/sites/2/2016/11/03143903/NationalMemo112-Final.pdf",48328,75701,11/4/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Pennsylvania",10/23/2016,10/25/2016,"Siena College","A",824,"lv",2.407836,46,39,6,,45.69849,42.18887,3.894355,,"","http://www.nytimes.com/interactive/2016/10/27/upshot/pennsylvania-poll.html",47551,74386,10/27/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Florida",10/31/2016,10/31/2016,"Gravis Marketing","B-",1195,"rv",2.382791,49,46,2,,49.0001,45.77124,2.313681,,"","http://www.realclearpolitics.com/docs/2016/Gravis_FL_November_3rd_2016.pdf",48261,75567,11/3/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Michigan",11/1/2016,11/3/2016,"EPIC-MRA","A-",600,"lv",2.378531,42,38,5,,43.18445,38.98146,4.220138,,"","http://www.freep.com/story/news/politics/2016/11/04/free-press-poll-donald-trump-gains-hillary-clinton-race-michigan-tightens/93287658/",48335,75719,11/4/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Arizona",10/26/2016,10/28/2016,"YouGov","B",994,"lv",2.375201,42,44,4,,41.58163,44.85116,4.757234,,"","http://www.cbsnews.com/news/cbs-battleground-poll-partisans-divide-on-news-of-fbi-emails/",47778,74788,10/30/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"North Carolina",10/26/2016,10/28/2016,"YouGov","B",992,"lv",2.372391,48,45,3,,47.61068,45.69521,3.757234,,"","http://www.cbsnews.com/news/cbs-battleground-poll-partisans-divide-on-news-of-fbi-emails/",47779,74789,10/30/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Florida",10/28/2016,11/3/2016,"SurveyMonkey","C-",3356,"lv",2.365714,47,45,4,,45.42488,44.73888,1.336149,,"","https://www.surveymonkey.com/elections/map?poll=sm-lv-cps",48278,75645,11/4/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"U.S.",10/14/2016,10/17/2016,"Selzer & Company","A+",1000,"lv",2.357426,47,38,8,,46.7939,40.89258,5.77296,,"","http://www.bloomberg.com/politics/articles/2016-10-19/national-poll",47060,73636,10/19/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"New Hampshire",11/1/2016,11/2/2016,"Gravis Marketing","B-",1001,"rv",2.349753,41,43,7,,41.1085,42.32627,7.619084,,"","http://www.breitbart.com/big-government/2016/11/04/exclusive-breitbartgravis-new-hampshire-poll-trump-takes-lead-granite-state/",48338,75724,11/4/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Pennsylvania",11/1/2016,11/2/2016,"Gravis Marketing","B-",1016,"rv",2.34733,47,45,2,,47.11208,44.29769,2.619084,,"","https://www.scribd.com/document/330033616/Pennsylvania-November-3-2016-v2-1#from_embed",48364,75829,11/4/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"U.S.",10/24/2016,10/30/2016,"SurveyMonkey","C-",40816,"lv",2.34095,47,41,6,,45.24936,41.7691,2.813962,,"","http://www.nbcnews.com/storyline/data-points/poll-clinton-maintains-national-lead-over-trump-despite-fbi-letter-n675771",47869,74912,10/31/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Iowa",11/1/2016,11/3/2016,"Emerson College","B",700,"lv",2.309043,41,44,5,,40.87093,42.08491,5.063297,,"","http://media.wix.com/ugd/3bebb2_f41eb67b0e694f8ca80b020facc8d937.pdf",48331,75711,11/4/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Colorado",10/26/2016,10/28/2016,"YouGov","B",997,"lv",2.307624,42,39,7,,41.57028,39.91207,7.757234,,"","http://www.cbsnews.com/news/cbs-battleground-poll-partisans-divide-on-news-of-fbi-emails/",47780,74790,10/30/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"California",10/28/2016,11/3/2016,"SurveyMonkey","C-",2528,"lv",2.307347,56,29,7,,54.42197,28.75245,4.336149,,"","https://www.surveymonkey.com/elections/map?poll=sm-lv-cps",48273,75640,11/4/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Kansas",10/26/2016,10/30/2016,"SurveyUSA","A",624,"lv",2.293345,38,49,7,,36.39166,48.96309,6.964798,,"","http://www.surveyusa.com/client/PollReport.aspx?g=0e1d48a5-2698-448f-8f7a-fa2c92996543",48076,75206,11/2/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Pennsylvania",10/30/2016,10/30/2016,"Remington","",1249,"lv",2.289288,45,43,3,,44.4787,42.0835,3.507929,,"","http://20an0w2e66jla4rfm1idisr1.wpengine.netdna-cdn.com/wp-content/uploads/2016/10/ABC_Press_Release-103016.pdf",47850,74877,10/31/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Florida",10/27/2016,11/1/2016,"Quinnipiac University","A-",626,"lv",2.28906,46,45,2,,46.20051,44.73271,1.33131,,"","https://poll.qu.edu/2016-presidential-swing-state-polls/release-detail?ReleaseID=2399",48098,75305,11/2/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Wisconsin",10/30/2016,10/30/2016,"Remington","",1172,"lv",2.284955,46,42,4,,45.46417,41.15327,4.507929,,"","http://20an0w2e66jla4rfm1idisr1.wpengine.netdna-cdn.com/wp-content/uploads/2016/10/ABC_Press_Release-103016.pdf",47852,74879,10/31/16,"23:06:17  4 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/4/16,"Georgia",10/28/2016,11/3/2016,"SurveyMonkey","C-",2872,"lv",2.282455,44,46,6,,42.43838,45.67579,3.336149,,"","https://www.surveymonkey.com/elections/map?poll=sm-lv-cps",48279,75646,11/4/16,"23:06:17  4 Nov 2016"
